Name,State/Territory,Category,Policy/Incentive Type,Created,Last Updated
Lansing Board of Water & Light - Hometown Energy Savers Commercial Rebates,MI,Financial Incentive,Rebate Program,02/02/2010,01/10/2025
Lansing Board of Water & Light - Residential Energy Efficiency Rebates,MI,Financial Incentive,Rebate Program,02/02/2010,09/23/2025
DTE Energy (Gas) - Residential Energy Efficiency Program,MI,Financial Incentive,Rebate Program,02/26/2009,05/17/2024
Lean and Green Michigan PACE,MI,Financial Incentive,PACE Financing,09/08/2014,12/20/2023
Net Metering,MI,Regulatory Policy,Net Metering,05/18/2015,02/28/2025
Alternative Energy Property Tax Exemption,MI,Financial Incentive,Property Tax Incentive,03/12/2021,11/20/2025
Fuel Transformation Program,MI,Financial Incentive,Grant Program,06/08/2021,08/12/2021
Charge Up Michigan Program,MI,Financial Incentive,Grant Program,06/09/2021,12/31/2021
Consumers Energy - PowerMIDrive Program,MI,Financial Incentive,Rebate Program,08/06/2021,11/18/2025
DTE Energy (Electric) - Charging Forward Program,MI,Financial Incentive,Rebate Program,08/06/2021,11/18/2025
Indiana Michigan Power - EV Incentive,MI,Financial Incentive,Rebate Program,08/06/2021,11/18/2025
Lansing Board of Water and Light - Plug-in Electric Vehicle Rebates,MI,Financial Incentive,Rebate Program,08/06/2021,11/20/2025
Energy Storage Target,MI,Regulatory Policy,Energy Storage Target,12/01/2023,11/20/2025
Michigan - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,MI,Financial Incentive,Grant Program,06/13/2024,06/13/2024
Renewable Energy and Energy Storage Facility Siting,MI,Regulatory Policy,Solar/Wind Permitting Standards,06/17/2024,06/17/2024
Solar Energy Facility Exemption,MI,Financial Incentive,Property Tax Incentive,08/15/2024,11/20/2025
Solar Access Law,MI,Regulatory Policy,Solar/Wind Access Policy,08/15/2024,08/15/2024
Michigan - Home Electrification and Appliance Rebate (HEAR) Program,MI,Financial Incentive,Rebate Program,10/31/2024,05/22/2025
Michigan - Home Efficiency Rebate (HER) Program,MI,Financial Incentive,Rebate Program,10/31/2024,05/22/2025
Wind and Solar-Electric (PV) Systems Exemption,MN,Financial Incentive,Property Tax Incentive,01/01/2000,10/08/2025
Agricultural Improvement Loan Program,MN,Financial Incentive,Loan Program,01/01/2000,07/29/2025
Value-Added Stock Loan Participation Program,MN,Financial Incentive,Loan Program,01/01/2000,07/29/2025
Net Metering,MN,Regulatory Policy,Net Metering,01/01/2000,02/28/2025
Comprehensive Energy Savings Plan for State Facilities,MN,Regulatory Policy,Energy Standards for Public Buildings,01/01/2000,07/08/2024
Solar Equipment Certification Requirement,MN,Regulatory Policy,Equipment Certification,01/01/2000,11/05/2024
Wind Energy Sales Tax Exemption,MN,Financial Incentive,Sales Tax Incentive,11/29/2001,12/10/2024
Fuel Mix and Emissions Disclosure,MN,Regulatory Policy,Generation Disclosure,12/03/2001,08/09/2023
Interconnection Standards,MN,Regulatory Policy,Interconnection,06/19/2003,06/07/2024
Minnesota Power - SolarSense Solar Rebate Program,MN,Financial Incentive,Rebate Program,06/21/2004,09/08/2025
Home Energy Loan Program,MN,Financial Incentive,Loan Program,07/01/2005,07/29/2025
Solar Energy Sales Tax Exemption,MN,Financial Incentive,Sales Tax Incentive,07/14/2005,12/12/2024
Minnesota Power - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,05/26/2006,03/20/2025
Otter Tail Power Company - Commercial & Industrial Energy Efficiency Grant Program,MN,Financial Incentive,Grant Program,05/28/2006,06/04/2024
Otter Tail Power Company - Commercial & Industrial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,05/28/2006,06/03/2024
Building Energy Code,MN,Regulatory Policy,Building Energy Code,07/28/2006,06/18/2023
Alexandria Light and Power - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,08/04/2006,05/06/2024
Alexandria Light and Power - Commercial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,08/04/2006,07/08/2024
Anoka Municipal Utility - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,08/04/2006,11/11/2025
Austin Utilities (Gas and Electric) - Residential Conserve and Save Rebate Program,MN,Financial Incentive,Rebate Program,08/07/2006,09/29/2025
Elk River Municipal Utilities - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,08/07/2006,11/11/2025
Marshall Municipal Utilities - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,08/07/2006,09/24/2025
Marshall Municipal Utilities - Commercial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,08/07/2006,05/13/2024
Moorhead Public Service Utility - Commercial and Industrial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,08/07/2006,06/07/2024
Shakopee Public Utilities - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,08/10/2006,10/31/2025
Shakopee Public Utilities - Commercial and Industrial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,08/10/2006,07/22/2024
Willmar Municipal Utilities - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,08/10/2006,11/11/2025
Wright-Hennepin Cooperative Electric Association - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,09/20/2006,11/11/2025
Wright-Hennepin Cooperative Electric Association - Non-Residential Energy Efficient Rebate Program,MN,Financial Incentive,Rebate Program,09/21/2006,05/28/2024
Minnesota Valley Electric Cooperative - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,09/21/2006,10/31/2025
Minnesota Valley Electric Cooperative -Residential Energy Resource Conservation Loan Program,MN,Financial Incentive,Loan Program,09/21/2006,10/31/2025
Minnesota Valley Electric Cooperative - Commercial and Industrial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,09/21/2006,07/16/2024
Lake Country Power - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,09/21/2006,09/24/2025
East Central Energy - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,09/22/2006,11/11/2025
Dakota Electric Association - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,09/22/2006,09/29/2025
Dakota Electric Association - Commercial and Industrial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,09/22/2006,06/11/2024
Dakota Electric Association - Commercial and Industrial Energy Conservation Loan Program,MN,Financial Incentive,Loan Program,09/25/2006,06/11/2024
Dakota Electric Association - Commercial and Industrial Custom Energy Grant Program,MN,Financial Incentive,Grant Program,09/25/2006,06/11/2024
Crow Wing Power - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,09/25/2006,09/23/2025
Renewable Energy Standard,MN,Regulatory Policy,Renewables Portfolio Standard,03/05/2007,11/04/2025
Connexus Energy - Commercial Energy Efficiency Rebate Programs,MN,Financial Incentive,Rebate Program,03/19/2007,05/31/2024
Stearns Electric Association - Commercial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,03/19/2007,06/03/2024
Blooming Prairie Public Utilities - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,05/22/2007,05/24/2024
Blooming Prairie Public Utilities - Business Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,05/22/2007,05/28/2024
Fairmont Public Utilities - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,05/22/2007,09/22/2025
Fairmont Public Utilities - Commercial & Industrial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,05/23/2007,06/07/2024
Grand Marais PUC - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,05/24/2007,09/19/2025
Grand Marais PUC - Commercial & Industrial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,05/24/2007,06/07/2024
Litchfield Public Utilities - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,05/24/2007,09/19/2025
Litchfield Public Utilities - Commercial & Industrial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,05/24/2007,06/07/2024
Mora Municipal Utilities - Commercial & Industrial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,05/24/2007,06/10/2024
Mora Municipal Utilities - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,05/24/2007,09/19/2025
New Prague Utilities Commission - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,05/24/2007,11/03/2025
New Prague Utilities Commission - Commercial & Industrial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,05/24/2007,07/22/2024
North Branch Municipal Water & Light - Commercial & Industrial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,05/24/2007,06/10/2024
Preston Public Utilities - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,05/24/2007,11/12/2025
Preston Public Utilities - Commercial & Industrial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,05/24/2007,06/10/2024
Princeton PUC - Commercial & Industrial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,05/24/2007,06/10/2024
Princeton PUC - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,05/24/2007,11/12/2025
Redwood Falls Public Utilities - Commercial & Industrial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,06/01/2007,10/07/2025
Saint Peter Municipal Utilities - Commercial & Industrial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,06/01/2007,01/09/2025
Saint Peter Municipal Utilities - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,06/01/2007,10/31/2025
Spring Valley Public Utilities - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,06/01/2007,05/06/2024
Spring Valley Public Utilities - Commercial & Industrial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,06/01/2007,06/07/2024
Waseca Utilities - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,06/01/2007,02/20/2025
Southern Minnesota Municipal Power Agency - (17 Municipal Utilities) Commercial & Industrial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,06/01/2007,03/19/2025
Southern Minnesota Municipal Power Agency - (17 Municipal Utilities) - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,06/01/2007,09/22/2025
Rochester Public Utilities - Residential Conserve and Save Rebate,MN,Financial Incentive,Rebate Program,02/07/2008,01/08/2025
Minnesota Power - Residential New Construction Rebate Program,MN,Financial Incentive,Rebate Program,02/19/2009,01/07/2025
Minnesota Energy Resources (Gas) - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,03/24/2009,05/16/2024
CenterPoint Energy (Gas) - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,05/04/2009,05/20/2024
Farm Opportunities Loan Program,MN,Financial Incentive,Loan Program,05/26/2009,07/29/2025
Connexus Energy - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,06/01/2009,06/03/2024
Anoka Municipal Utility - Commercial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,06/02/2009,05/28/2024
East Central Energy - Commercial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,06/04/2009,05/28/2024
Elk River Municipal Utilities - Commercial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,06/05/2009,05/31/2024
Stearns Electric Association - Energy Efficiency Loan Program,MN,Financial Incentive,Loan Program,06/11/2009,11/10/2025
Lake Region Electric Cooperative - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,08/05/2009,05/20/2024
Lake Region Electric Cooperative - Agriculture and Commercial Energy Efficiency Grant Program,MN,Financial Incentive,Grant Program,08/05/2009,05/31/2024
Austin Utilities - Solar Rebate Program,MN,Financial Incentive,Rebate Program,09/10/2010,09/29/2025
Fix-Up Loan,MN,Financial Incentive,Loan Program,10/01/2010,07/29/2025
Otter Tail Power Company - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,05/28/2006,11/11/2025
Duluth Comfort Systems - Residential Energy Efficiency Loan Program,MN,Financial Incentive,Loan Program,03/09/2011,08/30/2024
MMPA - Commercial and Industrial Energy Efficiency Program,MN,Financial Incentive,Rebate Program,04/08/2011,05/13/2024
MMPA - Residential Energy Efficiency Program,MN,Financial Incentive,Rebate Program,04/08/2011,05/12/2024
Minnesota Energy Resources (Gas) - Low-Income New Construction Rebates,MN,Financial Incentive,Rebate Program,04/21/2011,05/16/2024
Missouri River Energy Services (25 Member Cooperatives) - Business Energy Efficiency Rebate,MN,Financial Incentive,Rebate Program,02/03/2012,01/08/2025
Minnesota Energy Resources (Gas) - Commercial and Industrial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,03/24/2009,05/12/2024
Xcel Energy - Solar*Rewards Program,MN,Financial Incentive,Performance-Based Incentive,06/13/2013,09/29/2025
Minnkota Power Cooperative (12 Utilities) - Value of Electricity Campaign Off-Peak Rebates,MN,Financial Incentive,Rebate Program,08/22/2014,05/23/2024
Minnkota Power Cooperative (11 Utilities) - PowerSavers Commercial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,08/22/2014,07/18/2024
Value of Solar Tariff,MN,Regulatory Policy,Value of Solar Tariff,02/04/2015,06/05/2025
Rural Minnesota Energy Board PACE Program,MN,Financial Incentive,PACE Financing,05/01/2015,01/03/2024
Minnesota PACE Program (MinnPACE),MN,Financial Incentive,PACE Financing,05/04/2015,01/13/2024
City of Minneapolis - Solar Access and Easement Laws,MN,Regulatory Policy,Solar/Wind Access Policy,10/11/2016,10/20/2023
Willmar Municipal Utilities - Commercial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,05/30/2019,06/13/2024
Minnesota Energy Resources (Gas) - New Construction Rebates,MN,Financial Incentive,Rebate Program,06/06/2019,05/17/2024
Brainerd Public Utilities - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,05/20/2020,11/13/2025
Minnesota Power - Business Rebates & Savings,MN,Financial Incentive,Rebate Program,06/22/2020,01/02/2025
Connexus Energy - Electric Vehicle Incentive Program,MN,Financial Incentive,Rebate Program,08/10/2021,02/20/2025
Dakota Electric Association - Residential EV Charger Rebate,MN,Financial Incentive,Rebate Program,08/12/2021,02/20/2025
Otter Tail Power - EVSE Rebate Program,MN,Financial Incentive,Rebate Program,08/12/2021,06/13/2025
Runestone Electric Association - EVSE Rebate Program,MN,Financial Incentive,Rebate Program,08/12/2021,06/13/2025
Community Solar Gardens,MN,Regulatory Policy,Community Solar Rules,06/03/2022,02/28/2025
Solar for Schools Program,MN,Financial Incentive,Grant Program,12/15/2023,03/17/2025
Solar Grant Program: Public Buildings,MN,Financial Incentive,Grant Program,12/15/2023,03/17/2025
Wind and Solar-Electric (PV) Systems Exemption,MN,Financial Incentive,Property Tax Incentive,01/01/2000,10/08/2025
Comprehensive Energy Savings Plan for State Facilities,MN,Regulatory Policy,Energy Standards for Public Buildings,01/01/2000,07/08/2024
Wind Energy Sales Tax Exemption,MN,Financial Incentive,Sales Tax Incentive,11/29/2001,12/10/2024
Willmar Municipal Utilities - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,08/10/2006,11/11/2025
Minnesota Valley Electric Cooperative - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,09/21/2006,10/31/2025
Minnesota Valley Electric Cooperative -Residential Energy Resource Conservation Loan Program,MN,Financial Incentive,Loan Program,09/21/2006,10/31/2025
Dakota Electric Association - Commercial and Industrial Energy Conservation Loan Program,MN,Financial Incentive,Loan Program,09/25/2006,06/11/2024
Dakota Electric Association - Commercial and Industrial Custom Energy Grant Program,MN,Financial Incentive,Grant Program,09/25/2006,06/11/2024
Mora Municipal Utilities - Commercial & Industrial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,05/24/2007,06/10/2024
Mora Municipal Utilities - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,05/24/2007,09/19/2025
Saint Peter Municipal Utilities - Commercial & Industrial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,06/01/2007,01/09/2025
Saint Peter Municipal Utilities - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,06/01/2007,10/31/2025
Spring Valley Public Utilities - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,06/01/2007,05/06/2024
Rochester Public Utilities - Residential Conserve and Save Rebate,MN,Financial Incentive,Rebate Program,02/07/2008,01/08/2025
Minnesota Power - Residential New Construction Rebate Program,MN,Financial Incentive,Rebate Program,02/19/2009,01/07/2025
Farm Opportunities Loan Program,MN,Financial Incentive,Loan Program,05/26/2009,07/29/2025
Austin Utilities - Solar Rebate Program,MN,Financial Incentive,Rebate Program,09/10/2010,09/29/2025
Minnesota Energy Resources (Gas) - Low-Income New Construction Rebates,MN,Financial Incentive,Rebate Program,04/21/2011,05/16/2024
Minnesota Energy Resources (Gas) - Commercial and Industrial Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,03/24/2009,05/12/2024
Minnesota Energy Resources (Gas) - New Construction Rebates,MN,Financial Incentive,Rebate Program,06/06/2019,05/17/2024
Solar Grant Program: Public Buildings,MN,Financial Incentive,Grant Program,12/15/2023,03/17/2025
Missouri Solar Easements & Rights Laws,MO,Regulatory Policy,Solar/Wind Access Policy,01/01/2000,09/22/2023
City of Columbia - Renewable Portfolio Standard,MO,Regulatory Policy,Renewables Portfolio Standard,11/04/2004,11/12/2024
Energy Loan Program,MO,Financial Incentive,Loan Program,01/01/2000,07/29/2025
Wood Energy Production Credit,MO,Financial Incentive,Corporate Tax Credit,01/01/2000,03/27/2025
Interconnection Guidelines,MO,Regulatory Policy,Interconnection,06/18/2003,05/31/2024
Evergy - Residential Programmable Thermostat Program,MO,Financial Incentive,Rebate Program,05/08/2006,04/04/2025
Building Energy Code,MO,Regulatory Policy,Building Energy Code,07/28/2006,05/23/2023
Kirkwood Electric - Residential Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,08/10/2006,07/07/2025
Ozark Border Electric Cooperative - Residential Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,09/15/2006,06/30/2025
Intercounty Electric Cooperative - Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,09/15/2006,07/02/2025
Co-Mo Electric Cooperative - Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,09/15/2006,09/30/2025
Spire - Commercial and Industrial Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,11/20/2006,07/15/2025
Columbia Water & Light - Home Performance with ENERGY STAR Loan,MO,Financial Incentive,Loan Program,03/06/2007,03/24/2025
Columbia Water & Light - Residential HVAC Rebates,MO,Financial Incentive,Rebate Program,03/12/2007,07/02/2025
Net Metering,MO,Regulatory Policy,Net Metering,06/27/2007,02/28/2025
Renewable Energy Standard,MO,Regulatory Policy,Renewables Portfolio Standard,06/27/2007,11/18/2024
Columbia Water & Light - Solar Rebates,MO,Financial Incentive,Rebate Program,07/12/2007,11/04/2025
City Utilities of Springfield - Residential Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,08/29/2007,10/01/2025
City Utilities of Springfield - Commercial Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,08/29/2007,03/28/2025
Empire District Electric - Residential Energy Efficiency Rebate,MO,Financial Incentive,Rebate Program,04/11/2008,12/03/2024
Evergy - Residential Rebate Programs,MO,Financial Incentive,Rebate Program,04/30/2008,06/30/2025
Evergy - Energy Savings Kit,MO,Financial Incentive,Rebate Program,05/01/2008,05/30/2025
Platte-Clay Electric Cooperative - Residential and Commercial Energy Efficiency Rebates,MO,Financial Incentive,Rebate Program,06/09/2008,07/03/2025
Columbia Water & Light - Residential Energy Efficiency Incentives (Including Home Performance with Energy Star),MO,Financial Incentive,Rebate Program,06/23/2008,03/26/2025
Energy Standards for Public Buildings,MO,Regulatory Policy,Energy Standards for Public Buildings,07/23/2008,07/08/2024
Sales Tax Holiday for Energy-Efficient Appliances,MO,Financial Incentive,Sales Tax Incentive,07/29/2008,12/12/2024
Spire Energy - Residential High Efficiency Heating Rebate Program,MO,Financial Incentive,Rebate Program,10/28/2008,02/10/2025
White River Valley Electric Cooperative - Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,05/29/2009,07/01/2025
Cuivre River Electric - Energy Efficiency Rebate Programs,MO,Financial Incentive,Rebate Program,08/05/2009,06/05/2025
Southwest Electric Cooperative - Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,08/06/2009,06/30/2025
Spire - Residential Rebates,MO,Financial Incentive,Rebate Program,01/12/2010,06/18/2025
Independence Power and Light - Residential Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,01/27/2010,10/17/2024
Independence Power and Light - New Homes Rebate Program,MO,Financial Incentive,Rebate Program,01/27/2010,07/07/2025
Independence Power and Light - Commercial Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,01/27/2010,11/01/2024
Citizens Electric Corporation - Residential Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,02/17/2010,07/01/2025
Columbia Water & Light - HVAC and Lighting Efficiency Rebates,MO,Financial Incentive,Rebate Program,06/18/2010,04/04/2025
City of Columbia Water & Light - Commercial Energy Efficiency Loans,MO,Financial Incentive,Loan Program,07/07/2010,02/07/2025
Local Option - Clean Energy Development Boards,MO,Financial Incentive,PACE Financing,07/12/2010,01/02/2024
Missouri Rural Electric Cooperative - Residential Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,12/08/2010,07/02/2025
Energy Efficiency Goals,MO,Regulatory Policy,Energy Efficiency Resource Standard,06/25/2012,06/30/2025
Liberty Utilities - Residential and Small Business Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,01/23/2013,07/03/2025
Missouri Clean Energy District,MO,Financial Incentive,PACE Financing,08/27/2014,12/20/2023
Set the PACE St. Louis,MO,Financial Incentive,PACE Financing,08/27/2014,01/08/2024
Columbia Water & Light - Solar Energy Loans,MO,Financial Incentive,Loan Program,09/19/2014,11/04/2025
City of Kansas City - Green Building Policy for Municipal Buildings,MO,Regulatory Policy,Energy Standards for Public Buildings,11/03/2014,06/23/2024
City of Kansas City - Solar/Wind Easements and Geothermal Access,MO,Regulatory Policy,Solar/Wind Access Policy,11/04/2014,10/22/2023
Ameren Missouri (Electric) - Residential Heating and Cooling Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,03/15/2016,11/07/2024
Spire Energy - Commercial and Industrial Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,05/03/2016,02/10/2025
Show Me PACE,MO,Financial Incentive,PACE Financing,05/05/2016,01/08/2024
City of St. Louis - Green Building Standard,MO,Regulatory Policy,Energy Standards for Public Buildings,10/11/2016,06/18/2024
Wabash Valley Power Association (23 Member Cooperatives) - Commercial and Industrial Energy Efficiency Program,MO,Financial Incentive,Rebate Program,05/20/2018,08/01/2025
Empire District Electric (Gas) - Commercial and Industrial Gas Efficiency Program,MO,Financial Incentive,Rebate Program,07/24/2018,12/03/2024
Volkswagen Trust Electric Vehicle Charging Infrastructure Program,MO,Financial Incentive,Grant Program,06/09/2021,12/31/2021
Volkswagen Trust Funds - Transit and Shuttle Buses,MO,Financial Incentive,Grant Program,06/09/2021,12/31/2021
Missouri - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,MO,Financial Incentive,Grant Program,06/13/2024,06/13/2024
N. Mariana Islands - Renewables Portfolio Standard,MP,Regulatory Policy,Renewables Portfolio Standard,01/05/2011,06/27/2024
N. Mariana Islands - Building Energy Code,MP,Regulatory Policy,Building Energy Code,04/05/2011,06/16/2020
N. Mariana Islands - Net Metering,MP,Regulatory Policy,Net Metering,09/26/2014,03/24/2025
MDA - Energy Efficiency Revolving Loan Program,MS,Financial Incentive,Loan Program,01/01/2000,07/03/2025
Building Energy Code,MS,Regulatory Policy,Building Energy Code,07/21/2006,05/23/2023
Southern Pine Electric Power Association - Residential Energy Efficiency Rebate Program,MS,Financial Incentive,Rebate Program,09/15/2006,08/14/2024
Pearl River Valley Electric Power Association - Residential Energy Efficiency Rebate Program,MS,Financial Incentive,Rebate Program,09/19/2006,01/13/2025
Coast Electric Power Association - Comfort Advantage Home Program,MS,Financial Incentive,Rebate Program,09/19/2006,07/01/2025
Singing River Electric Power Association - Comfort Advantage Home Program,MS,Financial Incentive,Rebate Program,06/03/2008,10/01/2025
Mississippi Clean Energy Initiative,MS,Financial Incentive,Industry Recruitment/Support,07/07/2010,02/13/2024
Mississippi Power - Residential & Commercial Energy Efficiency Rebate Program,MS,Financial Incentive,Rebate Program,07/22/2010,03/24/2025
Energy Efficiency Standards for State Facilities,MS,Regulatory Policy,Energy Standards for Public Buildings,06/19/2014,06/12/2024
TVA - Residential Energy Efficiency Rebate Program,MS,Financial Incentive,Rebate Program,03/05/2015,09/10/2025
Entergy Mississippi- Residential Energy Efficiency Program,MS,Financial Incentive,Rebate Program,06/29/2015,02/12/2025
Net Metering,MS,Regulatory Policy,Net Metering,12/04/2015,04/06/2025
Interconnection Standards,MS,Regulatory Policy,Interconnection,12/05/2015,01/14/2024
Atmos Energy (Gas) Residential Appliance Rebate Program,MS,Financial Incentive,Rebate Program,03/20/2017,07/02/2025
Atmos Energy (Gas) Industrial and Commercial Rebate Program,MS,Financial Incentive,Rebate Program,03/20/2017,07/02/2025
TVA - Commercial Energy Efficiency Rebate Program,MS,Financial Incentive,Rebate Program,06/02/2020,09/12/2025
Entergy Mississippi - eTech Program,MS,Financial Incentive,Rebate Program,08/14/2021,03/24/2025
Mississippi Power - Low-to-Moderate Income Residential Incentive Program,MS,Financial Incentive,Rebate Program,09/03/2023,09/26/2025
Entergy Mississippi - Low-to-Moderate Income Residential Incentive Program,MS,Financial Incentive,Rebate Program,09/03/2023,09/26/2025
Entergy Mississippi - Residential Demand Response Battery Incentive Program,MS,Financial Incentive,Rebate Program,04/12/2024,09/26/2025
Mississippi Power - Battery Storage Incentive Program,MS,Financial Incentive,Rebate Program,04/12/2024,09/26/2025
Mississippi - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,MS,Financial Incentive,Grant Program,06/12/2024,06/12/2024
Mandatory Utility Green Power Option,MT,Regulatory Policy,Mandatory Utility Green Power Option,07/17/2003,08/30/2021
Renewable Energy Systems Exemption,MT,Financial Incentive,Property Tax Incentive,01/01/2000,10/08/2025
Montana Solar and Wind Easements,MT,Regulatory Policy,Solar/Wind Access Policy,01/01/2000,12/18/2023
Renewable Resource Standard,MT,Regulatory Policy,Renewables Portfolio Standard,05/12/2005,11/25/2024
Universal System Benefits Program,MT,Regulatory Policy,Public Benefits Fund,01/01/2000,07/30/2021
Corporate Property Tax Reduction for New/Expanded Generating Facilities,MT,Financial Incentive,Property Tax Incentive,10/01/2003,10/08/2025
Alternative Energy Revolving Loan Program,MT,Financial Incentive,Loan Program,07/11/2001,07/29/2025
Interconnection Standards,MT,Regulatory Policy,Interconnection,07/01/2003,05/29/2024
NorthWestern Energy - USB Renewable Energy Fund,MT,Financial Incentive,Rebate Program,08/05/2002,09/18/2025
Generation Facility Corporate Tax Exemptions,MT,Financial Incentive,Property Tax Incentive,10/01/2003,10/08/2025
Deduction For Energy-Conserving Investment,MT,Financial Incentive,Corporate Tax Deduction,06/16/2005,04/01/2025
NorthWestern Energy - Custom Business Efficiency Program,MT,Financial Incentive,Grant Program,06/23/2006,04/04/2025
NorthWestern Energy (Electric) - Commercial Energy Efficiency Rebate Program,MT,Financial Incentive,Rebate Program,06/23/2006,03/27/2025
Building Energy Code,MT,Regulatory Policy,Building Energy Code,07/28/2006,05/21/2025
Flathead Electric Cooperative - Residential Energy Efficiency Rebate Program,MT,Financial Incentive,Rebate Program,09/15/2006,03/18/2025
